county_FIPS,state,county,per_capita_personal_income_2019,per_capita_personal_income_2020,per_capita_personal_income_2021,associate_degree_numbers_2016_2020,bachelor_degree_numbers_2016_2020,associate_degree_percentage_2016_2020,bachelor_degree_percentage_2015_2019,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,AGE513_TOT,AGE1417_TOT,AGE18PLUS_TOT,AGE65PLUS_TOT,MEDIAN_AGE_TOT
20029,KS,"Cloud, KS",38962,44057,47195,2251,1421,38.02,24.0,9043.0,4589.0,4454.0,547.0,1087.0,477.0,6932.0,1854.0,40.1
06045,CA,"Mendocino, CA",48013,53087,56047,22570,14877,36.39,23.99,91587.0,45616.0,45971.0,5050.0,10111.0,4422.0,72004.0,21209.0,43.7
13139,GA,"Hall, GA",47263,49925,53920,35879,31696,27.15,23.99,202823.0,101377.0,101446.0,12676.0,24999.0,12449.0,152699.0,31594.0,37.9
41007,OR,"Clatsop, OR",45253,49063,52250,11855,6944,40.92,23.97,41067.0,20395.0,20672.0,1996.0,4043.0,1736.0,33292.0,9641.0,44.7
47119,TN,"Maury, TN",45199,48017,52041,20728,15735,31.57,23.97,100974.0,49172.0,51802.0,6532.0,11955.0,5232.0,77255.0,16521.0,38.9
37101,NC,"Johnston, NC",42117,45109,48950,49507,32484,36.51,23.96,216001.0,106662.0,109339.0,13368.0,28581.0,13310.0,160742.0,28823.0,38.1
28087,MS,"Lowndes, MS",40592,44039,47137,11666,9408,29.71,23.96,58884.0,28247.0,30637.0,3907.0,6995.0,3104.0,44878.0,9580.0,37.1
36039,NY,"Greene, NY",48849,53044,55805,9087,8505,25.58,23.95,47932.0,24880.0,23052.0,2091.0,3957.0,1895.0,39989.0,10901.0,47.0
26097,MI,"Mackinac, MI",44726,50473,53230,2730,2019,32.39,23.95,10824.0,5545.0,5279.0,469.0,778.0,471.0,9106.0,3149.0,52.4
20097,KS,"Kiowa, KS",41216,51912,57085,551,383,34.44,23.94,2459.0,1219.0,1240.0,166.0,293.0,127.0,1873.0,543.0,40.9
48393,TX,"Roberts, TX",50589,53413,56868,200,135,35.46,23.94,829.0,405.0,424.0,45.0,99.0,56.0,629.0,186.0,41.0
20143,KS,"Ottawa, KS",41724,46244,50373,1489,975,36.54,23.93,5731.0,2997.0,2734.0,291.0,689.0,334.0,4417.0,1174.0,43.5
